id,company_name,item_sold,units_sold,cost_per_unit_usd,bill_amount,gross_profit
1,Lone Star Lactose,Artisan Cheese,900,2.5,3525.0,1275.0
2,Bluebonnet Butter,Grass-Fed Butter,1050,2.2,3685.0,1375.0
3,Houston Creamery,Gourmet Yogurt,1200,2.0,3850.0,1450.0
4,Chicago Cheesemonger,Blue Cheese,800,3.0,3950.0,1550.0
5,Manhattan Milk,Organic Milk,1500,1.5,4050.0,1800.0
6,Cheese of the North,Cheddar Cheese,850,2.6,3500.0,1290.0
7,Toronto Lacto,Probiotic Kefir,950,2.3,3600.0,1415.0
8,Montreal Milkman,Gouda Cheese,1000,2.8,3750.0,950.0
9,Lechería del Distrito,Monterey Jack Cheese,1200,2.2,4000.0,1360.0
10,Lacteos Guadalajara,Cream Cheese,1100,1.8,4100.0,2120.0
11,Pacific Probiotics,Greek Yogurt,1300,2.0,4150.0,1550.0
12,Desert Dairy,Cottage Cheese,1500,1.5,4200.0,1950.0
13,Mountain Milk,Goat Cheese,900,3.0,4300.0,1600.0
14,Seattle Creamery,Camembert Cheese,1600,3.2,5000.0,-120.0
15,Las Vegas Lacto,Burrata Coffee,1500,3.4,4700.0,-400.0
